"X" "y" "LF" "species"
"Tabebuia_aurea" "yes" "yes" "tree" "Tabebuia_aurea"
"Catalpa_speciosa" "no" "yes" "tree" "Catalpa_speciosa"
"Campsis_radicans" "no" "no" "shrub" "Campsis_radicans"
"Campsis_grandiflora" "no" "yes" "shrub" "Campsis_grandiflora"
"Jacaranda_racemosa" "yes" "yes" "tree" "Jacaranda_racemosa"
"Jacaranda_caroba" "no" "yes" "tree" "Jacaranda_caroba"
"Lantana_camara" "no" "yes" "shrub" "Lantana_camara"
"Phyla_nodiflora" "no" "no" "herb" "Phyla_nodiflora"
"Verbena_officinalis" "no" "yes" "herb" "Verbena_officinalis"
"Rhaphithamnus_venustus" "no" "no" "shrub" "Rhaphithamnus_venustus"
"Scrophularia_nodosa" "no" "no" "herb" "Scrophularia_nodosa"
"Verbascum_thapsus" "no" "yes" "herb" "Verbascum_thapsus"
"Eremophila_glabra" "no" "no" "shrub" "Eremophila_glabra"
"Veronica_bullii" "no" "yes" "herb" "Veronica_bullii"
"Veronica_agrestis" "no" "yes" "herb" "Veronica_agrestis"
"Veronica_birleyi" "no" "no" "herb" "Veronica_birleyi"
"Veronica_trifida" "no" "no" "herb" "Veronica_trifida"
"Veronica_spathulata" "no" "no" "herb" "Veronica_spathulata"
"Veronica_linifolia" "no" "no" "herb" "Veronica_linifolia"
"Veronica_beccabunga" "no" "yes" "herb" "Veronica_beccabunga"
"Veronica_peregrina" "no" "no" "herb" "Veronica_peregrina"
"Veronica_serpyllifolia" "no" "yes" "herb" "Veronica_serpyllifolia"
"Veronica_alpina" "no" "no" "herb" "Veronica_alpina"
"Plantago_virginica" "no" "no" "herb" "Plantago_virginica"
"Plantago_major" "no" "no" "herb" "Plantago_major"
"Plantago_rugelii" "no" "no" "herb" "Plantago_rugelii"
"Plantago_coronopus" "no" "no" "herb" "Plantago_coronopus"
"Plantago_lanceolata" "no" "no" "herb" "Plantago_lanceolata"
"Plantago_lagopus" "no" "no" "herb" "Plantago_lagopus"
"Plantago_ovata" "no" "no" "herb" "Plantago_ovata"
"Plantago_patagonica" "no" "no" "herb" "Plantago_patagonica"
"Digitalis_purpurea" "yes" "yes" "herb" "Digitalis_purpurea"
"Misopates_orontium" "no" "yes" "herb" "Misopates_orontium"
"Chaenorhinum_minus" "no" "no" "herb" "Chaenorhinum_minus"
"Cymbalaria_muralis" "no" "yes" "herb" "Cymbalaria_muralis"
"Penstemon_centranthifolius" "yes" "no" "herb" "Penstemon_centranthifolius"
"Angelonia_pubescens" "yes" "yes" "herb" "Angelonia_pubescens"
"Angelonia_hirta" "yes" "yes" "herb" "Angelonia_hirta"
"Monttea_aphylla" "yes" "yes" "shrub" "Monttea_aphylla"
"Ourisia_macrocarpa" "no" "yes" "herb" "Ourisia_macrocarpa"
"Drymonia_serrulata" "yes" "yes" "shrub" "Drymonia_serrulata"
"Besleria_triflora" "no" "no" "shrub" "Besleria_triflora"
"Paliavana_racemosa" "no" "no" "shrub" "Paliavana_racemosa"
"Jasminum_nudiflorum" "no" "no" "shrub" "Jasminum_nudiflorum"
"Cynoglossum_officinale" "no" "yes" "herb" "Cynoglossum_officinale"
"Myosotis_discolor" "no" "yes" "herb" "Myosotis_discolor"
"Myosotis_sylvatica" "no" "no" "herb" "Myosotis_sylvatica"
"Mertensia_ciliata" "no" "yes" "shrub" "Mertensia_ciliata"
"Mertensia_maritima" "no" "no" "shrub" "Mertensia_maritima"
"Asperugo_procumbens" "no" "no" "herb" "Asperugo_procumbens"
"Anchusa_officinalis" "no" "yes" "herb" "Anchusa_officinalis"
"Borago_officinalis" "no" "yes" "herb" "Borago_officinalis"
"Pulmonaria_angustifolia" "no" "yes" "herb" "Pulmonaria_angustifolia"
"Phacelia_linearis" "yes" "yes" "herb" "Phacelia_linearis"
"Hydrophyllum_appendiculatum" "no" "yes" "herb" "Hydrophyllum_appendiculatum"
"Ellisia_nyctelea" "no" "yes" "herb" "Ellisia_nyctelea"
"Galium_sterneri" "no" "yes" "herb" "Galium_sterneri"
"Galium_pumilum" "no" "yes" "herb" "Galium_pumilum"
"Galium_saxatile" "no" "yes" "herb" "Galium_saxatile"
"Psychotria_nuda" "no" "yes" "shrub" "Psychotria_nuda"
"Palicourea_padifolia" "no" "yes" "shrub" "Palicourea_padifolia"
"Palicourea_macrobotrys" "no" "yes" "shrub" "Palicourea_macrobotrys"
